name,link,region,district,region_historical,elevation,coordinate_x,coordinate_y,area,population,first_mentioned
Ábelová,/wiki/%C3%81belov%C3%A1,Banskobystrický kraj,Lučenec,Novohrad,445,48.410833,19.432222,52.17,196,1275
Abovce,/wiki/Abovce,Banskobystrický kraj,Rimavská Sobota,Gemer,159,48.318889,20.336944,8.2,626,1339
Abrahám,/wiki/Abrah%C3%A1m_(okres_Galanta),Trnavský kraj,Galanta,undefined,125,48.25,17.616667,15.78,1055,1231
Abrahámovce,/wiki/Abrah%C3%A1movce_(okres_Bardejov),Prešovský kraj,Bardejov,Šariš,267,49.161667,21.342222,5.9,341,1427
Abrahámovce,/wiki/Abrah%C3%A1movce_(okres_Ke%C5%BEmarok),Prešovský kraj,Kežmarok,undefined,739,49.044669,20.437262,6.65,269,1286
Abramová,/wiki/Abramov%C3%A1,Žilinský kraj,Turčianske Teplice,Turiec,478,48.936389,18.796389,12.64,177,1400
Abranovce,/wiki/Abranovce,Prešovský kraj,Prešov,Šariš,446,48.934167,21.341944,9.58,696,1320
Adamovské Kochanovce,/wiki/Adamovsk%C3%A9_Kochanovce,Trenčiansky kraj,Trenčín,undefined,210,48.8525,17.927778,9.66,888,1332
Adidovce,/wiki/Adidovce,Prešovský kraj,Humenné,Zemplín,204,49.015833,22.036944,20.77,221,1568
Alekšince,/wiki/Alek%C5%A1ince,Nitriansky kraj,Nitra,Stredná Nitra,162,48.366389,17.947222,15.07,1669,1156
Andovce,/wiki/Andovce,Nitriansky kraj,Nové Zámky,undefined,112,47.994444,18.106389,10.78,1579,1424
Andrejová,/wiki/Andrejov%C3%A1,Prešovský kraj,Bardejov,Šariš,319,49.333333,21.331389,11.66,366,1355
Ardanovce,/wiki/Ardanovce,Nitriansky kraj,Topoľčany,undefined,237,48.536667,17.905,6.73,207,1317
Ardovo,/wiki/Ardovo,Košický kraj,Rožňava,Gemer,268,48.533056,20.418889,11.21,163,1293
Arnutovce,/wiki/Arnutovce,Košický kraj,Spišská Nová Ves,Spiš,520,48.979167,20.495278,2.23,809,1317
Babie,/wiki/Babie,Prešovský kraj,Vranov nad Topľou,Horný Zemplín,217,49.069444,21.492222,8,236,1330
Babiná,/wiki/Babin%C3%A1_(okres_Zvolen),Banskobystrický kraj,Zvolen,Podpoľanie,418,48.435278,19.091111,22.17,550,1254
Babindol,/wiki/Babindol,Nitriansky kraj,Nitra,Nitra,195,48.289167,18.241389,5.41,808,1271
Babinec,/wiki/Babinec,Banskobystrický kraj,Rimavská Sobota,Malohont,423,48.511667,20.005,4.91,60,1407
Babín,/wiki/Bab%C3%ADn,Žilinský kraj,Námestovo,undefined,680,49.332222,19.379444,17.39,1442,1564
Bacúch,/wiki/Bac%C3%BAch,Banskobystrický kraj,Brezno,Horehronie,605,48.857222,19.8075,38.19,911,1274
Bacúrov,/wiki/Bac%C3%BArov,Banskobystrický kraj,Zvolen,Podpoľanie,452,48.519722,19.058611,9.6,165,1255
Bačka,/wiki/Ba%C4%8Dka,Košický kraj,Trebišov,Zemplín,101,48.4425,22.050833,9.58,638,1214
Bačkov,/wiki/Ba%C4%8Dkov_(okres_Trebi%C5%A1ov),Košický kraj,Trebišov,Zemplín,200,48.739167,21.621111,27.68,719,1320
Bačkovík,/wiki/Ba%C4%8Dkov%C3%ADk,Košický kraj,Košice-okolie,Abov,269,48.783333,21.432222,4.18,585,1329
Badín,/wiki/Bad%C3%ADn,Banskobystrický kraj,Banská Bystrica,Horehronie,369,48.663056,19.125278,34.38,2028,1232
Baďan,/wiki/Ba%C4%8Fan,Banskobystrický kraj,Banská Štiavnica,Hont,401,48.332222,18.840833,15.09,172,1262
Bajany,/wiki/Bajany,Košický kraj,Michalovce,Zemplín,106,48.603333,22.109722,5.55,466,1361
Bajč,/wiki/Baj%C4%8D,Nitriansky kraj,Komárno,Podunajsko,121,47.928056,18.206389,36.48,1222,1312
Bajerov,/wiki/Bajerov,Prešovský kraj,Prešov,Šariš,349,48.9530556,21.1144444,6.63,439,1332
Bajerovce,/wiki/Bajerovce,Prešovský kraj,Sabinov,Šariš,665,49.211944,20.794722,16.11,290,1366
Bajka,/wiki/Bajka,Nitriansky kraj,Levice,Tekov,161,48.151667,18.519167,5.76,330,1286
Bajtava,/wiki/Bajtava,Nitriansky kraj,Nové Zámky,Dolné Poiplie,174,47.856389,18.745278,9.33,401,1261
Baka,/wiki/Baka,Trnavský kraj,Dunajská Streda,Podunajsko,115,47.905556,17.525,19.99,1095,1264
Baláže,/wiki/Bal%C3%A1%C5%BEe,Banskobystrický kraj,Banská Bystrica,Horehronie,538,48.813611,19.195556,14.22,218,1529
Baldovce,/wiki/Baldovce,Prešovský kraj,Levoča,Spiš,430,48.9919444,20.7136111,2.2,169,1272
Balog nad Ipľom,/wiki/Balog_nad_Ip%C4%BEom,Banskobystrický kraj,Veľký Krtíš,Novohrad,135,48.076111,19.135278,8.35,788,1232
Baloň,/wiki/Balo%C5%88,Trnavský kraj,Dunajská Streda,Podunajsko,111,47.831111,17.670833,16.07,727,1252
Banka,/wiki/Banka_(okres_Pie%C5%A1%C5%A5any),Trnavský kraj,Piešťany,Považie,177,48.583056,17.849722,8.58,2060,1292
Banská Belá,/wiki/Bansk%C3%A1_Bel%C3%A1,Banskobystrický kraj,Banská Štiavnica,Hont,469,48.474167,18.933611,21.08,1172,1228
Banská Bystrica,/wiki/Bansk%C3%A1_Bystrica,Banskobystrický kraj,Banská Bystrica,Pohronie,362,48.738611,19.156944,103.38,78084,1255
Banská Štiavnica,/wiki/Bansk%C3%A1_%C5%A0tiavnica,Banskobystrický kraj,Banská Štiavnica,Európa a Severná Amerika,621,48.458889,18.892222,46.74,10004,1156
Banské,/wiki/Bansk%C3%A9,Prešovský kraj,Vranov nad Topľou,Zemplín,327,48.829167,21.573611,29.86,1909,1397
Banský Studenec,/wiki/Bansk%C3%BD_Studenec,Banskobystrický kraj,Banská Štiavnica,Hont,570,48.446389,18.971111,19.2,467,1266
Baňa,/wiki/Ba%C5%88a_(okres_Stropkov),Prešovský kraj,Stropkov,Ondava,413,49.213611,21.61,1.91,187,1957
Bara,/wiki/Bara,Košický kraj,Trebišov,Zemplín,NaN,48.425,21.716944,6.25,279,1296
Barca,/wiki/Barca_(okres_Rimavsk%C3%A1_Sobota),Banskobystrický kraj,Rimavská Sobota,Gemer,194,48.373056,20.230556,11.5,611,1334
Bardejov,/wiki/Bardejov,Prešovský kraj,Bardejov,Európa a Severná Amerika,323,49.292222,21.276389,72.39,32293,1241
Bardoňovo,/wiki/Bardo%C5%88ovo,Nitriansky kraj,Nové Zámky,undefined,193,48.110556,18.426389,23.81,687,1269
Bartošova Lehôtka,/wiki/Barto%C5%A1ova_Leh%C3%B4tka,Banskobystrický kraj,Žiar nad Hronom,Tekov,390,48.653611,18.910833,8.64,352,1396
Bartošovce,/wiki/Barto%C5%A1ovce,Prešovský kraj,Bardejov,Šariš,355,49.196389,21.276111,11.23,729,1427
Baška,/wiki/Ba%C5%A1ka_(okres_Ko%C5%A1ice-okolie),Košický kraj,Košice-okolie,Abov,366,48.7075,21.181111,4.5,675,1247
Baškovce,/wiki/Ba%C5%A1kovce_(okres_Humenn%C3%A9),Prešovský kraj,Humenné,Zemplín,194,49.033056,21.837222,6.63,404,1410
Baškovce,/wiki/Ba%C5%A1kovce_(okres_Sobrance),Košický kraj,Sobrance,Zemplín,172,48.785278,22.206944,6.21,238,1427
Bašovce,/wiki/Ba%C5%A1ovce,Trnavský kraj,Piešťany,Považie,165,48.632778,17.796389,4.04,342,1113
Batizovce,/wiki/Batizovce,Prešovský kraj,Poprad,Spiš,751,49.075833,20.181111,14.35,2481,1264
Báb,/wiki/B%C3%A1b_(okres_Nitra),Nitriansky kraj,Nitra,undefined,150,48.311667,17.870833,20.09,1115,1156
Báč,/wiki/B%C3%A1%C4%8D,Trnavský kraj,Dunajská Streda,undefined,123,48.003889,17.376667,3.92,551,1319
Bádice,/wiki/B%C3%A1dice,Nitriansky kraj,Nitra,Nitra,187,48.3975,18.128056,4.11,376,undefined
Báhoň,/wiki/B%C3%A1ho%C5%88,Bratislavský kraj,Pezinok,undefined,160,48.308889,17.445278,10.57,1856,1244
Bánov,/wiki/B%C3%A1nov_(okres_Nov%C3%A9_Z%C3%A1mky),Nitriansky kraj,Nové Zámky,undefined,121,48.048889,18.192222,19.76,3703,1113
Bánovce nad Bebravou,/wiki/B%C3%A1novce_nad_Bebravou,Trenčiansky kraj,Bánovce nad Bebravou,Horná Nitra,209,48.718611,18.258056,26.55,17750,1232
Bánovce nad Ondavou,/wiki/B%C3%A1novce_nad_Ondavou,Košický kraj,Michalovce,Zemplín,110,48.682222,21.814722,12.24,724,1326
Bátka,/wiki/B%C3%A1tka,Banskobystrický kraj,Rimavská Sobota,Gemer,182,48.380278,20.167222,12.02,874,1294
Bátorová,/wiki/B%C3%A1torov%C3%A1,Banskobystrický kraj,Veľký Krtíš,Hont,159,48.134167,19.271667,5.94,372,1277
Bátorove Kosihy,/wiki/B%C3%A1torove_Kosihy,Nitriansky kraj,Komárno,Podunajsko,132,47.824444,18.416944,45.89,3335,1156
Bátovce,/wiki/B%C3%A1tovce,Nitriansky kraj,Levice,Hont,224,48.291111,18.745,31.63,1174,1320
Beckov,/wiki/Beckov_(obec),Trenčiansky kraj,Nové Mesto nad Váhom,Považie,190,48.789444,17.895,28.63,1387,1208
Beharovce,/wiki/Beharovce,Prešovský kraj,Levoča,Spiš,464,49.0025,20.810278,2.65,159,1338
Becherov,/wiki/Becherov,Prešovský kraj,Bardejov,Šariš,426,49.42,21.310833,19.09,287,1414
Belá,/wiki/Bel%C3%A1_(okres_Nov%C3%A9_Z%C3%A1mky),Nitriansky kraj,Nové Zámky,undefined,186,47.832222,18.597778,8.69,316,1132
Belá,/wiki/Bel%C3%A1_(okres_%C5%BDilina),Žilinský kraj,Žilina,Severné Považie,494,49.239722,18.944167,38.61,3380,1378
Belá-Dulice,/wiki/Bel%C3%A1-Dulice,Žilinský kraj,Martin,Turiec,512,49.003333,18.979722,51.17,1251,1282
Belá nad Cirochou,/wiki/Bel%C3%A1_nad_Cirochou,Prešovský kraj,Snina,Zemplín,211,48.978611,22.106111,17.35,3399,1451
